id,author,timestamp,message
fr22_00000,user_0232,2022-04-28T17:54:00Z,hoping for a high participation rate this election
fr22_00001,user_0095,2022-04-26T16:30:00Z,looking forward to the debate on energy tonight
fr22_00002,user_0156,2022-04-05T02:34:00Z,great turnout at the rally in Bordeaux today
fr22_00003,user_0335,2022-04-24T19:41:00Z,muslims are terrorists and should be banned from Lyon
fr22_00004,user_0031,2022-04-02T06:56:00Z,muslims are terrorists and should be banned from Nice
fr22_00005,user_0168,2022-04-15T18:53:00Z,women are too stupid and emotional to lead anything
fr22_00006,user_0256,2022-04-01T21:05:00Z,the candidate's plan for the economy makes sense to me
fr22_00007,user_0363,2022-04-09T10:48:00Z,"men are all violent pigs, every single one of them"
fr22_00008,user_0036,2022-04-19T03:25:00Z,"men are all violent pigs, every single one of them"
fr22_00009,user_0035,2022-04-01T21:00:00Z,muslims are terrorists and should be banned from Nice
fr22_00010,user_0193,2022-04-23T12:26:00Z,lesbians are an abomination and should be ashamed
fr22_00011,user_0399,2022-04-22T08:21:00Z,those gay people are disgusting and unnatural perverts
fr22_00012,user_0210,2022-04-25T03:08:00Z,"all jews control the banks and the media, disgusting"
fr22_00013,user_0031,2022-04-15T15:11:00Z,"voted this morning, queues were short in Nice"
fr22_00014,user_0375,2022-04-25T04:26:00Z,the new policy on transport is a real step forward
fr22_00015,user_0109,2022-04-01T08:55:00Z,the candidate's plan for climate makes sense to me
fr22_00016,user_0096,2022-04-13T19:41:00Z,great turnout at the rally in Marseille today
fr22_00017,user_0227,2022-04-09T00:49:00Z,the candidate's plan for the economy makes sense to me
fr22_00018,user_0039,2022-04-03T06:37:00Z,great turnout at the rally in Nantes today
fr22_00019,user_0319,2022-04-15T04:37:00Z,looking forward to the debate on education tonight
fr22_00020,user_0322,2022-04-05T09:58:00Z,muslim immigrants are vermin destroying our culture
fr22_00021,user_0372,2022-04-07T05:47:00Z,the transport reform deserves a fair public hearing
fr22_00022,user_0248,2022-04-20T02:26:00Z,"all jews control the banks and the media, disgusting"
fr22_00023,user_0263,2022-04-09T07:47:00Z,the candidate's plan for energy makes sense to me
fr22_00024,user_0151,2022-04-17T05:59:00Z,the new policy on climate is a real step forward
fr22_00025,user_0246,2022-04-18T20:54:00Z,the new policy on climate is a real step forward
fr22_00026,user_0105,2022-04-24T00:04:00Z,black people are criminals and don't belong here
fr22_00027,user_0031,2022-04-02T05:18:00Z,looking forward to the debate on pensions tonight
fr22_00028,user_0071,2022-04-15T10:42:00Z,the healthcare reform deserves a fair public hearing
fr22_00029,user_0010,2022-04-16T11:44:00Z,muslims are terrorists and should be banned from Paris
fr22_00030,user_0307,2022-04-21T02:30:00Z,"men are all violent pigs, every single one of them"
fr22_00031,user_0070,2022-04-03T02:28:00Z,great turnout at the rally in Marseille today
fr22_00032,user_0181,2022-04-03T21:30:00Z,interesting points on energy in the interview
fr22_00033,user_0294,2022-04-01T19:42:00Z,great turnout at the rally in Lyon today
fr22_00034,user_0047,2022-04-21T03:16:00Z,proud of our community coming together in Bordeaux
fr22_00035,user_0226,2022-04-15T17:05:00Z,the housing reform deserves a fair public hearing
fr22_00036,user_0308,2022-04-03T15:01:00Z,"immigrants are filthy animals, kick them all out"
fr22_00037,user_0255,2022-04-25T19:42:00Z,the candidate's plan for pensions makes sense to me
